record_id,annotated,data_set
1671,False,
2915,False,
5080,False,
1497,False,
6031,False,
234,False,
1456,False,
7941,False,
7900,False,
4421,False,
6078,False,
6403,False,
7403,False,
8749,False,
8417,False,
4420,False,
8481,False,
1537,True,psychedelic_study_100_20240418.jsonl
6901,False,
1737,False,
7077,False,
8982,False,
3148,False,
4784,False,
6236,False,
4179,False,
1238,False,
7980,True,psychedelic_study_100_20240418.jsonl
3000,False,
4841,False,
6361,True,psychedelic_study_50_20240418.jsonl
6469,False,
8989,False,
1807,False,
405,False,
4112,False,
3063,False,
1799,False,
6789,False,
1196,False,
2820,True,psychedelic_study_100_20240411.jsonl
216,True,psychedelic_study_100_20240411.jsonl
8041,False,
9416,False,
1806,False,
7397,False,
7200,False,
2556,False,
4031,False,
2813,False,
7402,False,
1446,False,
2538,False,
8713,False,
5280,False,
6204,False,
6584,False,
3057,False,
3758,False,
5838,False,
7519,True,psychedelic_study_100_20240418.jsonl
4252,True,psychedelic_study_100_20240411.jsonl
2999,False,
3214,False,
319,False,
7401,False,
2601,False,
2049,False,
9594,False,
1510,False,
3305,False,
5967,False,
9173,True,psychedelic_study_100_20240418.jsonl
1418,False,
9233,False,
7497,False,
6456,False,
5789,False,
5286,False,
7437,False,
5598,True,psychedelic_study_50_20240418.jsonl
3757,False,
4057,False,
3018,False,
7073,False,
7946,True,psychedelic_study_100_20240411.jsonl
7465,False,
5930,True,psychedelic_study_100_20240411.jsonl
6447,False,
3598,False,
6730,False,
4241,False,
4364,False,
7074,True,psychedelic_study_100_20240411.jsonl
2542,False,
4798,True,psychedelic_study_50_20240418.jsonl
2114,False,
5395,False,
54,False,
9520,False,
4739,False,
558,False,
7580,False,
4523,False,
5405,False,
2794,False,
5032,False,
7253,False,
7976,False,
652,True,psychedelic_study_100_20240411.jsonl
3894,False,
889,False,
772,False,
6357,False,
3593,False,
394,True,psychedelic_study_100_20240411.jsonl
7075,False,
9238,False,
9595,False,
3909,False,
9000,True,psychedelic_study_100_20240411.jsonl
3992,False,
1098,False,
497,False,
5915,False,
9596,False,
1430,False,
4165,False,
7351,False,
1443,True,psychedelic_study_100_20240418.jsonl
9565,False,
5001,False,
6321,False,
8987,True,psychedelic_study_100_20240411.jsonl
5023,False,
1447,False,
2753,False,
2553,False,
211,False,
6072,False,
8177,False,
6037,False,
5739,False,
5396,False,
9603,False,
4815,False,
1236,False,
8180,False,
5122,False,
2998,True,psychedelic_study_100_20240411.jsonl
7554,False,
7012,False,
809,False,
808,True,psychedelic_study_100_20240418.jsonl
5968,False,
6106,False,
5515,False,
5408,False,
2762,False,
9179,False,
3818,True,psychedelic_study_100_20240411.jsonl
5494,False,
8533,False,
1129,False,
8352,False,
5802,False,
3257,False,
3353,True,psychedelic_study_100_20240418.jsonl
5584,False,
4058,False,
8687,False,
44,False,
8087,True,psychedelic_study_100_20240418.jsonl
4424,True,psychedelic_study_100_20240411.jsonl
3594,False,
5898,False,
734,False,
979,False,
4117,False,
1389,False,
9198,False,
9307,False,
586,False,
5568,False,
5495,False,
2719,False,
884,False,
72,False,
9195,False,
5555,False,
7435,False,
6739,False,
2376,False,
6421,False,
6672,False,
2034,False,
2825,False,
1522,False,
2379,False,
6383,False,
6141,False,
1882,False,
762,False,
5213,False,
5525,True,psychedelic_study_100_20240411.jsonl
1981,True,psychedelic_study_100_20240418.jsonl
7011,False,
4924,False,
5511,False,
9495,False,
7013,False,
9331,False,
4370,False,
1820,False,
5328,False,
6330,False,
6731,False,
4220,False,
8179,False,
3592,False,
73,False,
7956,False,
3111,False,
5121,False,
9567,False,
6385,False,
9574,False,
528,False,
5081,False,
2092,False,
8777,True,psychedelic_study_100_20240418.jsonl
5641,False,
6180,False,
9508,False,
1649,False,
9421,False,
8497,False,
7240,False,
9629,False,
5700,False,
4236,False,
9466,False,
1439,False,
1429,False,
9532,False,
7223,False,
4008,False,
1433,False,
8990,False,
2416,False,
6490,False,
8635,False,
1729,False,
659,False,
8350,False,
6507,False,
5686,False,
1703,False,
4988,False,
7225,False,
9577,False,
5040,False,
8122,False,
1314,False,
4754,False,
1891,True,psychedelic_study_100_20240411.jsonl
3850,False,
9590,False,
5025,True,psychedelic_study_100_20240411.jsonl
3715,False,
5644,False,
7414,False,
7807,False,
2250,False,
2675,False,
7594,False,
1961,True,psychedelic_study_50_20240418.jsonl
5997,False,
486,False,
8613,True,psychedelic_study_100_20240418.jsonl
525,False,
9563,False,
8487,False,
6061,False,
1445,False,
9007,True,psychedelic_study_100_20240411.jsonl
5684,False,
259,False,
7990,False,
4006,False,
337,False,
5364,False,
6837,False,
5099,False,
4792,False,
7777,False,
6450,True,psychedelic_study_50_20240418.jsonl
8636,True,psychedelic_study_100_20240418.jsonl
1730,False,
5690,False,
3837,False,
6325,False,
221,False,
3825,False,
8752,False,
4914,False,
227,False,
3927,False,
6258,False,
6608,False,
8218,False,
6245,False,
8077,False,
6171,False,
1450,False,
1657,False,
5543,False,
7621,True,psychedelic_study_100_20240411.jsonl
2431,False,
4592,False,
3237,False,
2818,False,
6345,True,psychedelic_study_100_20240418.jsonl
7021,False,
3876,False,
7803,False,
1364,True,psychedelic_study_50_20240418.jsonl
3728,False,
3796,False,
7574,False,
4129,False,
1262,False,
6062,False,
3449,False,
6274,False,
5139,True,psychedelic_study_100_20240418.jsonl
6173,False,
8307,False,
7295,False,
8976,False,
6870,False,
3492,True,psychedelic_study_50_20240418.jsonl
6468,False,
2424,False,
3977,True,psychedelic_study_100_20240411.jsonl
3071,False,
148,False,
578,False,
7399,False,
7405,False,
531,True,psychedelic_study_100_20240411.jsonl
220,False,
154,False,
7597,False,
8731,False,
6855,False,
8349,False,
6422,False,
7861,False,
6470,False,
3820,False,
6402,False,
7863,False,
167,True,psychedelic_study_100_20240418.jsonl
6800,False,
2359,False,
8936,False,
2396,False,
9562,False,
7875,False,
8889,False,
3306,False,
1436,False,
7817,False,
4544,False,
6502,False,
6132,False,
6699,False,
4543,False,
5381,False,
6222,False,
6162,False,
2720,False,
482,False,
6843,False,
5316,False,
691,False,
564,False,
8959,True,psychedelic_study_100_20240418.jsonl
8634,False,
6446,True,psychedelic_study_100_20240418.jsonl
9071,False,
6491,False,
980,True,psychedelic_study_50_20240418.jsonl
4349,False,
4249,False,
121,True,psychedelic_study_100_20240411.jsonl
8120,False,
5991,False,
2765,False,
7860,False,
1763,False,
1647,False,
1486,False,
4782,False,
7055,False,
763,False,
7078,False,
128,False,
6367,False,
664,False,
6894,False,
1942,False,
1452,False,
2168,False,
3631,False,
526,False,
4056,False,
342,False,
8947,False,
7603,False,
2033,False,
347,False,
2863,False,
8470,True,psychedelic_study_50_20240418.jsonl
7110,False,
9239,False,
6074,False,
6448,False,
7557,False,
6643,False,
9197,False,
6423,False,
579,False,
8335,False,
1442,False,
4922,False,
1441,False,
6644,False,
7573,False,
8498,False,
8991,False,
7415,False,
6358,False,
5954,False,
1736,False,
8496,False,
5346,False,
3017,False,
8176,False,
9442,False,
4977,False,
2118,True,psychedelic_study_50_20240418.jsonl
5936,True,psychedelic_study_50_20240418.jsonl
3926,True,psychedelic_study_100_20240418.jsonl
2162,False,
78,False,
5343,False,
1685,False,
4579,False,
2473,False,
159,False,
162,False,
1670,False,
9420,False,
5082,False,
5917,False,
660,False,
8747,False,
4581,False,
9630,False,
2391,False,
1438,False,
9171,True,psychedelic_study_100_20240411.jsonl
5564,False,
5910,False,
9496,True,psychedelic_study_100_20240418.jsonl
7207,False,
7378,False,
6098,False,
1139,False,
8370,False,
633,False,
9589,False,
6445,False,
76,False,
1787,False,
4711,True,psychedelic_study_100_20240411.jsonl
5024,False,
997,False,
668,False,
1229,False,
6068,False,
1444,False,
6038,False,
3682,False,
6194,False,
687,False,
1530,False,
9381,False,
1462,False,
9340,False,
5572,False,
2026,False,
410,False,
9568,False,
5249,False,
4694,False,
4816,False,
4999,False,
6019,False,
6869,False,
8412,False,
5706,False,
6375,False,
6740,False,
8948,False,
4731,False,
7224,False,
2955,False,
635,False,
6146,False,
4783,False,
7090,False,
4005,False,
1507,False,
7456,False,
6058,False,
2413,False,
6012,False,
3371,False,
637,False,
5048,False,
563,False,
5995,False,
5625,True,psychedelic_study_100_20240411.jsonl
2373,False,
9521,False,
6224,False,
6044,False,
7216,False,
6282,False,
4633,False,
8143,False,
5375,False,
3995,False,
6295,True,psychedelic_study_50_20240418.jsonl
4653,False,
1052,False,
6322,False,
914,False,
185,False,
3821,False,
9591,False,
562,False,
254,False,
6025,False,
4708,True,psychedelic_study_100_20240418.jsonl
1041,False,
7049,False,
290,False,
1432,False,
6998,False,
8048,False,
6646,False,
1803,False,
262,False,
6954,False,
5624,False,
2817,False,
5987,False,
224,False,
6419,False,
4683,False,
8342,False,
3217,False,
9542,False,
2137,False,
9379,False,
8320,False,
4573,False,
7105,False,
4582,False,
1805,False,
7056,False,
1347,False,
1351,False,
6714,False,
5828,False,
9505,False,
6380,False,
6665,False,
7587,False,
6527,False,
1822,True,psychedelic_study_100_20240418.jsonl
6366,False,
9446,False,
2227,False,
7520,False,
1987,False,
7890,False,
846,False,
3896,False,
1886,True,psychedelic_study_100_20240411.jsonl
7477,False,
2148,False,
7419,False,
8977,False,
7243,False,
9570,False,
7242,False,
4474,False,
6884,False,
8187,False,
1042,False,
6664,True,psychedelic_study_100_20240418.jsonl
2411,False,
5600,False,
1434,False,
7467,False,
2957,False,
1524,False,
5635,False,
8748,False,
3866,False,
9556,False,
4728,True,psychedelic_study_100_20240411.jsonl
120,False,
276,False,
9564,False,
5046,False,
1824,False,
2415,False,
401,False,
5743,False,
9566,True,psychedelic_study_100_20240418.jsonl
6850,False,
8908,False,
6234,False,
692,False,
8798,True,psychedelic_study_100_20240411.jsonl
9332,False,
5597,False,
1659,False,
2887,False,
7453,False,
7591,False,
8599,False,
5797,False,
8847,True,psychedelic_study_100_20240411.jsonl
6240,False,
1352,False,
6360,False,
5315,False,
9602,False,
9501,True,psychedelic_study_100_20240418.jsonl
1283,False,
1543,False,
8414,True,psychedelic_study_100_20240411.jsonl
141,False,
5136,False,
9467,False,
1925,False,
1615,False,
2017,False,
6190,False,
1796,False,
6093,True,psychedelic_study_100_20240418.jsonl
3354,False,
