record_id,annotated,data_set
6152,False,
8321,True,psychedelic_study_250_20240425_134821.jsonl
1264,True,psychedelic_study_250_20240425_134820.jsonl
7738,True,psychedelic_study_250_20240425_134822.jsonl
3640,True,psychedelic_study_100_20240411.jsonl
7739,True,psychedelic_study_250_20240425_152801.jsonl
3637,True,psychedelic_study_100_20240411.jsonl
4967,False,
3639,False,
2105,True,psychedelic_study_250_20240425_134821.jsonl
2107,True,psychedelic_study_250_20240425_134820.jsonl
3632,False,
3633,True,psychedelic_study_250_20240423_113434.jsonl
3638,True,psychedelic_study_50_20240418.jsonl
3634,True,psychedelic_study_250_20240425_134822.jsonl
698,True,psychedelic_study_100_20240418.jsonl
4956,False,
2480,True,psychedelic_study_100_20240411.jsonl
4961,True,psychedelic_study_250_20240425_152801.jsonl
6157,True,psychedelic_study_250_20240425_134820.jsonl
3630,False,
8312,False,
4905,True,psychedelic_study_250_20240425_134821.jsonl
6084,False,
5737,False,
801,True,psychedelic_study_250_20240425_134822.jsonl
4953,True,psychedelic_study_250_20240423_113434.jsonl
2101,True,psychedelic_study_250_20240425_134822.jsonl
3635,True,psychedelic_study_100_20240411.jsonl
7743,False,
6131,False,
5853,True,psychedelic_study_250_20240425_152801.jsonl
7740,True,psychedelic_study_250_20240425_152801.jsonl
4893,False,
1959,True,psychedelic_study_250_20240425_134820.jsonl
2106,True,psychedelic_study_250_20240425_134821.jsonl
6045,False,
1958,True,psychedelic_study_250_20240423_113434.jsonl
5735,True,psychedelic_study_250_20240425_134820.jsonl
6189,False,
793,True,psychedelic_study_100_20240411.jsonl
7165,False,
794,True,psychedelic_study_250_20240425_134822.jsonl
2482,True,psychedelic_study_250_20240423_113434.jsonl
2481,False,
6278,False,
2886,False,
5905,False,
3636,True,psychedelic_study_250_20240425_152801.jsonl
6013,False,
6281,False,
6096,False,
6136,False,
2104,False,
7054,False,
1272,True,psychedelic_study_250_20240425_134821.jsonl
6287,False,
6228,False,
6965,True,psychedelic_study_250_20240425_134820.jsonl
7057,False,
2103,False,
8869,True,psychedelic_study_250_20240425_134822.jsonl
9369,False,
8268,False,
9370,False,
3765,True,psychedelic_study_250_20240423_113434.jsonl
8878,True,psychedelic_study_250_20240423_113434.jsonl
3770,True,psychedelic_study_250_20240425_134822.jsonl
4957,False,
3766,False,
1531,True,psychedelic_study_250_20240425_134821.jsonl
5899,True,psychedelic_study_250_20240425_152801.jsonl
800,False,
6026,True,psychedelic_study_250_20240423_113434.jsonl
2988,True,psychedelic_study_250_20240425_134820.jsonl
2508,True,psychedelic_study_250_20240425_134821.jsonl
3771,False,
6809,False,
6158,True,psychedelic_study_250_20240425_152801.jsonl
6225,True,psychedelic_study_250_20240425_134822.jsonl
943,False,
4451,True,psychedelic_study_100_20240411.jsonl
5366,False,
1992,True,psychedelic_study_250_20240425_134821.jsonl
4966,True,psychedelic_study_250_20240425_134822.jsonl
4971,True,psychedelic_study_50_20240418.jsonl
3389,False,
4970,False,
8455,True,psychedelic_study_250_20240425_134821.jsonl
4355,False,
6250,False,
8868,True,psychedelic_study_100_20240418.jsonl
8345,False,
2516,True,psychedelic_study_250_20240425_152801.jsonl
2507,True,psychedelic_study_250_20240425_134822.jsonl
6197,False,
6203,True,psychedelic_study_250_20240425_134820.jsonl
4358,False,
6027,True,psychedelic_study_250_20240425_134822.jsonl
6028,True,psychedelic_study_250_20240425_134822.jsonl
6034,True,psychedelic_study_250_20240425_152801.jsonl
6029,True,psychedelic_study_250_20240423_113434.jsonl
6021,False,
4969,True,psychedelic_study_250_20240423_113434.jsonl
6015,False,
8454,True,psychedelic_study_250_20240425_134820.jsonl
4955,False,
3784,False,
4954,False,
1917,False,
1216,True,psychedelic_study_250_20240425_152801.jsonl
6016,False,
8902,True,psychedelic_study_100_20240418.jsonl
6004,False,
799,True,psychedelic_study_250_20240425_152801.jsonl
3533,True,psychedelic_study_250_20240423_113434.jsonl
791,True,psychedelic_study_250_20240425_152801.jsonl
6003,False,
4359,True,psychedelic_study_250_20240425_134821.jsonl
6000,False,
7745,False,
6035,False,
6041,False,
6040,True,psychedelic_study_250_20240423_113434.jsonl
5697,True,psychedelic_study_100_20240418.jsonl
6121,True,psychedelic_study_250_20240425_134820.jsonl
6103,True,psychedelic_study_250_20240425_134821.jsonl
5698,False,
6494,False,
6023,True,psychedelic_study_250_20240425_134821.jsonl
716,False,
6602,True,psychedelic_study_250_20240425_134820.jsonl
6581,False,
131,False,
6060,True,psychedelic_study_250_20240425_134822.jsonl
6043,False,
9392,False,
5695,True,psychedelic_study_100_20240418.jsonl
5688,True,psychedelic_study_250_20240423_113434.jsonl
5689,False,
8711,False,
1829,True,psychedelic_study_250_20240423_113434.jsonl
6170,True,psychedelic_study_250_20240425_134822.jsonl
